,1st Electrode,2nd Electrode,F+,F-,S+,S-,Real 1,Imaginary 1,Results
1,E0,E1,0,1,1,0,40663.203125,2616.053466796875,
,R26_C56_C57,R24_C54_C56,,,,,,,Amplitude
2,E0,E2,0,2,2,0,NaN,NaN,100 mV
,R26_C56_C57,R22_C52_C54,,,,,,,Frequency
3,E1,E2,1,2,2,1,NaN,NaN,10000 Hz
,R24_C54_C56,R22_C52_C54,,,,,,,Baud Rate
4,E0,E3,0,3,3,0,NaN,NaN,230400
,R26_C56_C57,R18_C50_C52,,,,,,,
5,E1,E3,1,3,3,1,NaN,NaN,
,R24_C54_C56,R18_C50_C52,,,,,,,
6,E2,E3,2,3,3,2,422.2452697753906,-147.69041442871094,
,R22_C52_C54,R18_C50_C52,,,,,,,
7,E0,E4,0,4,4,0,48678.9296875,-1286.093017578125,
,R26_C56_C57,R16_C48_C50,,,,,,,
8,E1,E4,1,4,4,1,50950.0625,868.126708984375,
,R24_C54_C56,R16_C48_C50,,,,,,,
9,E2,E4,2,4,4,2,NaN,NaN,
,R22_C52_C54,R16_C48_C50,,,,,,,
10,E3,E4,3,4,4,3,NaN,NaN,
,R18_C50_C52,R16_C48_C50,,,,,,,
11,E0,E5,0,5,5,0,43785.41796875,-5149.66796875,
,R26_C56_C57,R14_C46_C48,,,,,,,
12,E1,E5,1,5,5,1,46009.73828125,-3393.49755859375,
,R24_C54_C56,R14_C46_C48,,,,,,,
13,E2,E5,2,5,5,2,NaN,NaN,
,R22_C52_C54,R14_C46_C48,,,,,,,
14,E3,E5,3,5,5,3,NaN,NaN,
,R18_C50_C52,R14_C46_C48,,,,,,,
15,E4,E5,4,5,5,4,4062.35205078125,-23526.9921875,
,R16_C48_C50,R14_C46_C48,,,,,,,
16,E0,E6,0,6,6,0,27731.5546875,2035.113525390625,
,R26_C56_C57,R12_C44_C46,,,,,,,
17,E1,E6,1,6,6,1,27731.5546875,2035.113525390625,
,R24_C54_C56,R12_C44_C46,,,,,,,
18,E2,E6,2,6,6,2,NaN,NaN,
,R22_C52_C54,R12_C44_C46,,,,,,,
19,E3,E6,3,6,6,3,NaN,NaN,
,R18_C50_C52,R12_C44_C46,,,,,,,
20,E4,E6,4,6,6,4,32608.1640625,1743.46337890625,
,R16_C48_C50,R12_C44_C46,,,,,,,
